type,status,departure.iataCode,departure.icaoCode,departure.scheduledTime,departure.estimatedTime,departure.actualTime,departure.estimatedRunway,departure.actualRunway,arrival.iataCode,arrival.icaoCode,arrival.scheduledTime,arrival.estimatedTime,airline.name,airline.iataCode,airline.icaoCode,flight.number,flight.iataNumber,flight.icaoNumber,arrival.baggage,arrival.terminal,departure.delay,arrival.delay,arrival.gate,arrival.actualTime,arrival.estimatedRunway,arrival.actualRunway
departure,active,ext,egte,2022-03-26t09:00:00.000,,,,,pfo,lcph,2022-03-26t15:35:00.000,,tui airways,by,tom,6682,by6682,tom6682,,,,,,,,
departure,active,ext,egte,2022-04-02t16:40:00.000,2022-04-02t16:40:00.000,2022-04-02t16:54:00.000,2022-04-02t16:54:00.000,2022-04-02t16:54:00.000,alc,leal,2022-04-02t20:00:00.000,2022-04-02t19:48:00.000,ryanair,fr,ryr,2797,fr2797,ryr2797,6b,,15.0,,,,,
departure,active,ext,egte,2022-04-03t08:55:00.000,2022-04-03t08:55:00.000,,,,agp,lemg,2022-04-03t12:25:00.000,,ryanair,fr,ryr,3524,fr3524,ryr3524,,,,,,,,
departure,active,ext,egte,2022-04-05t19:45:00.000,2022-04-05t19:45:00.000,2022-04-05t19:40:00.000,2022-04-05t19:40:00.000,2022-04-05t19:40:00.000,alc,leal,2022-04-05t23:05:00.000,2022-04-05t22:50:00.000,ryanair,fr,ryr,2797,fr2797,ryr2797,3b,,,,,,,
departure,active,ext,egte,2022-04-06t08:55:00.000,2022-04-06t08:55:00.000,,,,agp,lemg,2022-04-06t12:25:00.000,,ryanair,fr,ryr,3524,fr3524,ryr3524,,,,,,,,
departure,active,ext,egte,2022-04-09t16:40:00.000,2022-04-09t16:40:00.000,,,,alc,leal,2022-04-09t20:00:00.000,,ryanair,fr,ryr,2797,fr2797,ryr2797,6b,,,,,,,
departure,active,ext,egte,2022-04-10t08:55:00.000,2022-04-10t08:55:00.000,2022-04-10t09:10:00.000,2022-04-10t09:10:00.000,2022-04-10t09:10:00.000,agp,lemg,2022-04-10t12:25:00.000,2022-04-10t12:22:00.000,ryanair,fr,ryr,3524,fr3524,ryr3524,,,16.0,,,,,
departure,active,ext,egte,2022-04-12t19:45:00.000,2022-04-12t19:45:00.000,,,,alc,leal,2022-04-12t23:05:00.000,,ryanair,fr,ryr,2797,fr2797,ryr2797,3b,,,,,,,
departure,active,ext,egte,2022-04-13t08:55:00.000,2022-04-13t08:55:00.000,2022-04-13t09:13:00.000,2022-04-13t09:13:00.000,2022-04-13t09:13:00.000,agp,lemg,2022-04-13t12:25:00.000,2022-04-13t12:18:00.000,ryanair,fr,ryr,3524,fr3524,ryr3524,,,18.0,,,,,
departure,active,ext,egte,2022-04-16t16:40:00.000,2022-04-16t16:40:00.000,2022-04-16t16:47:00.000,2022-04-16t16:47:00.000,2022-04-16t16:47:00.000,alc,leal,2022-04-16t20:00:00.000,2022-04-16t19:59:00.000,ryanair,fr,ryr,2797,fr2797,ryr2797,5b,,8.0,,,,,
departure,active,ext,egte,2022-04-17t08:55:00.000,2022-04-17t08:55:00.000,,,,agp,lemg,2022-04-17t12:25:00.000,,ryanair,fr,ryr,3524,fr3524,ryr3524,,,,,,,,
departure,active,ext,egte,2022-04-19t19:45:00.000,2022-04-19t19:45:00.000,2022-04-19t19:38:00.000,2022-04-19t19:38:00.000,2022-04-19t19:38:00.000,alc,leal,2022-04-19t23:05:00.000,2022-04-19t22:39:00.000,ryanair,fr,ryr,2797,fr2797,ryr2797,3b,,,,,,,
departure,active,ext,egte,2022-04-20t08:55:00.000,2022-04-20t08:55:00.000,,,,agp,lemg,2022-04-20t12:25:00.000,,ryanair,fr,ryr,3524,fr3524,ryr3524,,,,,,,,
departure,active,ext,egte,2022-04-23t16:40:00.000,2022-04-23t16:40:00.000,2022-04-23t16:42:00.000,2022-04-23t16:42:00.000,2022-04-23t16:42:00.000,alc,leal,2022-04-23t20:00:00.000,2022-04-23t19:48:00.000,ryanair,fr,ryr,2797,fr2797,ryr2797,6b,,2.0,,,,,
departure,active,ext,egte,2022-04-24t08:55:00.000,2022-04-24t08:55:00.000,,,,agp,lemg,2022-04-24t12:25:00.000,,ryanair,fr,ryr,3524,fr3524,ryr3524,,,,,,,,
departure,active,ext,egte,2022-04-26t19:45:00.000,2022-04-26t19:45:00.000,2022-04-26t19:37:00.000,2022-04-26t19:37:00.000,2022-04-26t19:37:00.000,alc,leal,2022-04-26t23:05:00.000,2022-04-26t22:41:00.000,ryanair,fr,ryr,2797,fr2797,ryr2797,3b,,,,,,,
departure,active,ext,egte,2022-04-27t08:55:00.000,2022-04-27t08:55:00.000,2022-04-27t08:50:00.000,2022-04-27t08:50:00.000,2022-04-27t08:50:00.000,agp,lemg,2022-04-27t12:25:00.000,2022-04-27t12:01:00.000,ryanair,fr,ryr,3524,fr3524,ryr3524,,,,,,,,
departure,active,ext,egte,2022-04-30t16:40:00.000,2022-04-30t16:40:00.000,,,,alc,leal,2022-04-30t20:00:00.000,,ryanair,fr,ryr,2797,fr2797,ryr2797,6b,,,,,,,
departure,active,ext,egte,2022-04-02t13:20:00.000,,,,,pfo,lcph,2022-04-02t19:55:00.000,,tui airways,by,tom,6682,by6682,tom6682,,,,,,,,
departure,active,ext,egte,2022-04-05t13:55:00.000,,,,,tfs,gcts,2022-04-05t18:00:00.000,,tui airways,by,tom,6242,by6242,tom6242,a4,,,,,,,
departure,active,ext,egte,2022-04-09t06:25:00.000,,,,,pmi,lepa,2022-04-09t09:35:00.000,,tui airways,by,tom,6600,by6600,tom6600,06,,,,,,,
departure,active,ext,egte,2022-04-12t16:20:00.000,,,,,tfs,gcts,2022-04-12t20:25:00.000,,tui airways,by,tom,6242,by6242,tom6242,a4,,,,,,,
departure,active,ext,egte,2022-04-16t06:25:00.000,,,,,pmi,lepa,2022-04-16t09:35:00.000,,tui airways,by,tom,6600,by6600,tom6600,06,,,,,,,
departure,active,ext,egte,2022-04-16t13:20:00.000,,,,,pfo,lcph,2022-04-16t19:55:00.000,,tui airways,by,tom,6682,by6682,tom6682,,,,,,,,
departure,active,ext,egte,2022-04-30t06:25:00.000,,,,,pmi,lepa,2022-04-30t09:35:00.000,,tui airways,by,tom,6600,by6600,tom6600,05,,,,,,,
departure,active,ext,egte,2022-05-01t08:55:00.000,2022-05-01t08:55:00.000,2022-05-01t09:10:00.000,2022-05-01t09:10:00.000,2022-05-01t09:10:00.000,agp,lemg,2022-05-01t12:25:00.000,2022-05-01t12:20:00.000,ryanair,fr,ryr,3524,fr3524,ryr3524,,,16.0,,,,,
departure,active,ext,egte,2022-05-03t19:45:00.000,2022-05-03t19:45:00.000,2022-05-03t19:43:00.000,2022-05-03t19:43:00.000,2022-05-03t19:43:00.000,alc,leal,2022-05-03t23:05:00.000,2022-05-03t22:43:00.000,ryanair,fr,ryr,2797,fr2797,ryr2797,3b,,,,,,,
departure,active,ext,egte,2022-05-04t08:55:00.000,2022-05-04t08:55:00.000,,,,agp,lemg,2022-05-04t12:25:00.000,,ryanair,fr,ryr,3524,fr3524,ryr3524,,,,,,,,
departure,active,ext,egte,2022-05-07t16:40:00.000,2022-05-07t16:40:00.000,,,,alc,leal,2022-05-07t20:00:00.000,,ryanair,fr,ryr,2797,fr2797,ryr2797,6b,,,,,,,
departure,active,ext,egte,2022-05-08t08:55:00.000,2022-05-08t08:55:00.000,,,,agp,lemg,2022-05-08t12:25:00.000,,ryanair,fr,ryr,3524,fr3524,ryr3524,,,,,,,,
