type,status,departure.iataCode,departure.icaoCode,departure.delay,departure.scheduledTime,departure.estimatedTime,departure.actualTime,departure.estimatedRunway,departure.actualRunway,arrival.iataCode,arrival.icaoCode,arrival.scheduledTime,arrival.estimatedTime,airline.name,airline.iataCode,airline.icaoCode,flight.number,flight.iataNumber,flight.icaoNumber,arrival.terminal,arrival.baggage,arrival.delay,departure.gate,arrival.gate,codeshared.airline.name,codeshared.airline.iataCode,codeshared.airline.icaoCode,codeshared.flight.number,codeshared.flight.iataNumber,codeshared.flight.icaoNumber
departure,active,bfs,egaa,9.0,2022-01-29t08:30:00.000,2022-01-29t08:30:00.000,2022-01-29t08:38:00.000,2022-01-29t08:38:00.000,2022-01-29t08:38:00.000,tfs,gcts,2022-01-29t13:10:00.000,2022-01-29t12:52:00.000,jet2,ls,exs,381,ls381,exs381,,b6,,,,,,,,,
departure,active,bfs,egaa,14.0,2022-01-29t09:40:00.000,2022-01-29t09:40:00.000,2022-01-29t09:54:00.000,2022-01-29t09:54:00.000,2022-01-29t09:54:00.000,fue,gcfv,2022-01-29t14:10:00.000,2022-01-29t13:52:00.000,jet2,ls,exs,307,ls307,exs307,,6,,,,,,,,,
departure,active,bfs,egaa,14.0,2022-01-30t08:20:00.000,2022-01-30t08:20:00.000,2022-01-30t08:33:00.000,2022-01-30t08:33:00.000,2022-01-30t08:33:00.000,ace,gcrr,2022-01-30t12:50:00.000,2022-01-30t12:33:00.000,jet2,ls,exs,309,ls309,exs309,1,2,,,,,,,,,
departure,active,bfs,egaa,15.0,2022-01-30t09:40:00.000,2022-01-30t09:40:00.000,2022-01-30t09:55:00.000,2022-01-30t09:55:00.000,2022-01-30t09:55:00.000,lpa,gclp,2022-01-30t14:15:00.000,2022-01-30t14:09:00.000,jet2,ls,exs,371,ls371,exs371,,35,,,,,,,,,
departure,active,bfs,egaa,15.0,2022-01-31t08:30:00.000,2022-01-31t08:30:00.000,2022-01-31t08:44:00.000,2022-01-31t08:44:00.000,2022-01-31t08:44:00.000,tfs,gcts,2022-01-31t13:10:00.000,2022-01-31t12:50:00.000,jet2,ls,exs,381,ls381,exs381,,a3,,,,,,,,,
departure,active,bfs,egaa,11.0,2022-01-07t10:10:00.000,2022-01-07t10:10:00.000,2022-01-07t10:21:00.000,2022-01-07t10:21:00.000,2022-01-07t10:21:00.000,bgi,tbpb,2022-01-07t14:30:00.000,2022-01-07t14:57:00.000,tui airways,by,tom,238,by238,tom238,,,28.0,,,,,,,,
departure,active,bfs,egaa,27.0,2022-02-01t08:20:00.000,2022-02-01t08:20:00.000,2022-02-01t08:46:00.000,2022-02-01t08:46:00.000,2022-02-01t08:46:00.000,ace,gcrr,2022-02-01t12:50:00.000,2022-02-01t12:43:00.000,jet2,ls,exs,309,ls309,exs309,1,5,,,,,,,,,
departure,active,bfs,egaa,14.0,2022-02-01t08:30:00.000,2022-02-01t08:30:00.000,2022-02-01t08:43:00.000,2022-02-01t08:43:00.000,2022-02-01t08:43:00.000,tfs,gcts,2022-02-01t13:10:00.000,2022-02-01t12:54:00.000,jet2,ls,exs,381,ls381,exs381,,a1,,,,,,,,,
departure,active,bfs,egaa,6.0,2022-02-02t09:35:00.000,2022-02-02t09:35:00.000,2022-02-02t09:41:00.000,2022-02-02t09:41:00.000,2022-02-02t09:41:00.000,fue,gcfv,2022-02-02t14:05:00.000,2022-02-02t13:45:00.000,jet2,ls,exs,307,ls307,exs307,,6,,,,,,,,,
departure,active,bfs,egaa,6.0,2022-02-03t08:20:00.000,2022-02-03t08:20:00.000,2022-02-03t08:26:00.000,2022-02-03t08:26:00.000,2022-02-03t08:26:00.000,ace,gcrr,2022-02-03t12:50:00.000,2022-02-03t12:22:00.000,jet2,ls,exs,309,ls309,exs309,1,4,,,,,,,,,
departure,active,bfs,egaa,18.0,2022-02-03t08:30:00.000,2022-02-03t08:30:00.000,2022-02-03t08:48:00.000,2022-02-03t08:48:00.000,2022-02-03t08:48:00.000,tfs,gcts,2022-02-03t13:10:00.000,2022-02-03t13:00:00.000,jet2,ls,exs,381,ls381,exs381,,a3,,,,,,,,,
departure,active,bfs,egaa,5.0,2022-02-03t09:40:00.000,2022-02-03t09:40:00.000,2022-02-03t09:44:00.000,2022-02-03t09:44:00.000,2022-02-03t09:44:00.000,lpa,gclp,2022-02-03t14:15:00.000,2022-02-03t13:52:00.000,jet2,ls,exs,371,ls371,exs371,,35,,,,,,,,,
departure,active,bfs,egaa,1.0,2022-02-04t08:30:00.000,2022-02-04t08:30:00.000,2022-02-04t08:30:00.000,2022-02-04t08:30:00.000,2022-02-04t08:30:00.000,tfs,gcts,2022-02-04t13:10:00.000,2022-02-04t12:41:00.000,jet2,ls,exs,381,ls381,exs381,,a1,,,,,,,,,
departure,active,bfs,egaa,2.0,2022-02-05t07:45:00.000,2022-02-05t07:45:00.000,2022-02-05t07:47:00.000,2022-02-05t07:47:00.000,2022-02-05t07:47:00.000,szg,lows,2022-02-05t11:25:00.000,2022-02-05t10:44:00.000,jet2,ls,exs,345,ls345,exs345,,,,,,,,,,,
departure,active,bfs,egaa,11.0,2022-02-05t08:30:00.000,2022-02-05t08:30:00.000,2022-02-05t08:40:00.000,2022-02-05t08:40:00.000,2022-02-05t08:40:00.000,tfs,gcts,2022-02-05t13:10:00.000,2022-02-05t12:52:00.000,jet2,ls,exs,381,ls381,exs381,,b2,,,,,,,,,
departure,active,bfs,egaa,6.0,2022-02-05t09:40:00.000,2022-02-05t09:40:00.000,2022-02-05t09:46:00.000,2022-02-05t09:46:00.000,2022-02-05t09:46:00.000,fue,gcfv,2022-02-05t14:10:00.000,2022-02-05t13:47:00.000,jet2,ls,exs,307,ls307,exs307,,4,,,,,,,,,
departure,active,bfs,egaa,35.0,2022-02-06t08:20:00.000,2022-02-06t08:55:00.000,,,,ace,gcrr,2022-02-06t12:50:00.000,,jet2,ls,exs,309,ls309,exs309,1,4,,,,,,,,,
departure,active,bfs,egaa,15.0,2022-02-06t09:40:00.000,2022-02-06t09:40:00.000,2022-02-06t09:54:00.000,2022-02-06t09:54:00.000,2022-02-06t09:54:00.000,lpa,gclp,2022-02-06t14:15:00.000,2022-02-06t14:02:00.000,jet2,ls,exs,371,ls371,exs371,,37,,,,,,,,,
departure,active,bfs,egaa,10.0,2022-02-07t08:30:00.000,2022-02-07t08:30:00.000,2022-02-07t08:39:00.000,2022-02-07t08:39:00.000,2022-02-07t08:39:00.000,tfs,gcts,2022-02-07t13:10:00.000,2022-02-07t12:48:00.000,jet2,ls,exs,381,ls381,exs381,,a5,,,,,,,,,
departure,active,bfs,egaa,11.0,2022-02-08t08:20:00.000,2022-02-08t08:20:00.000,2022-02-08t08:31:00.000,2022-02-08t08:31:00.000,2022-02-08t08:31:00.000,ace,gcrr,2022-02-08t12:50:00.000,2022-02-08t12:35:00.000,jet2,ls,exs,309,ls309,exs309,1,4,,,,,,,,,
departure,active,bfs,egaa,17.0,2022-02-08t08:30:00.000,2022-02-08t08:30:00.000,2022-02-08t08:46:00.000,2022-02-08t08:46:00.000,2022-02-08t08:46:00.000,tfs,gcts,2022-02-08t13:10:00.000,2022-02-08t13:00:00.000,jet2,ls,exs,381,ls381,exs381,,b6,,,,,,,,,
departure,active,bfs,egaa,7.0,2022-02-09t09:35:00.000,2022-02-09t09:35:00.000,2022-02-09t09:42:00.000,2022-02-09t09:42:00.000,2022-02-09t09:42:00.000,fue,gcfv,2022-02-09t14:05:00.000,2022-02-09t13:43:00.000,jet2,ls,exs,307,ls307,exs307,,6,,,,,,,,,
departure,active,bfs,egaa,9.0,2022-02-10t08:20:00.000,2022-02-10t08:20:00.000,2022-02-10t08:29:00.000,2022-02-10t08:29:00.000,2022-02-10t08:29:00.000,ace,gcrr,2022-02-10t12:50:00.000,2022-02-10t12:28:00.000,jet2,ls,exs,309,ls309,exs309,1,5,,,,,,,,,
departure,active,bfs,egaa,10.0,2022-02-10t08:30:00.000,2022-02-10t08:30:00.000,2022-02-10t08:40:00.000,2022-02-10t08:40:00.000,2022-02-10t08:40:00.000,tfs,gcts,2022-02-10t13:10:00.000,2022-02-10t12:50:00.000,jet2,ls,exs,381,ls381,exs381,,a2,,,,,,,,,
departure,active,bfs,egaa,14.0,2022-02-10t09:40:00.000,2022-02-10t09:40:00.000,2022-02-10t09:54:00.000,2022-02-10t09:54:00.000,2022-02-10t09:54:00.000,lpa,gclp,2022-02-10t14:15:00.000,2022-02-10t14:06:00.000,jet2,ls,exs,371,ls371,exs371,,37,,,,,,,,,
departure,active,bfs,egaa,24.0,2022-02-11t07:55:00.000,2022-02-11t08:19:00.000,,,,alc,leal,2022-02-11t12:05:00.000,,jet2,ls,exs,301,ls301,exs301,,,,,,,,,,,
departure,active,bfs,egaa,,2022-02-11t08:30:00.000,2022-02-11t08:30:00.000,,,,tfs,gcts,2022-02-11t13:10:00.000,,jet2,ls,exs,381,ls381,exs381,,a7,,,,,,,,,
departure,active,bfs,egaa,13.0,2022-02-12t07:45:00.000,2022-02-12t07:45:00.000,2022-02-12t07:58:00.000,2022-02-12t07:58:00.000,2022-02-12t07:58:00.000,szg,lows,2022-02-12t11:25:00.000,2022-02-12t11:01:00.000,jet2,ls,exs,345,ls345,exs345,,,,,,,,,,,
departure,active,bfs,egaa,13.0,2022-02-12t08:30:00.000,2022-02-12t08:30:00.000,2022-02-12t08:43:00.000,2022-02-12t08:43:00.000,2022-02-12t08:43:00.000,tfs,gcts,2022-02-12t13:10:00.000,2022-02-12t12:56:00.000,jet2,ls,exs,381,ls381,exs381,,b1,,,,,,,,,
departure,active,bfs,egaa,10.0,2022-02-12t09:40:00.000,2022-02-12t09:40:00.000,2022-02-12t09:49:00.000,2022-02-12t09:49:00.000,2022-02-12t09:49:00.000,fue,gcfv,2022-02-12t14:10:00.000,2022-02-12t13:49:00.000,jet2,ls,exs,307,ls307,exs307,,4,,,,,,,,,
