type,status,departure.iataCode,departure.icaoCode,departure.terminal,departure.gate,departure.scheduledTime,departure.estimatedTime,departure.actualTime,departure.estimatedRunway,departure.actualRunway,arrival.iataCode,arrival.icaoCode,arrival.terminal,arrival.baggage,arrival.gate,arrival.scheduledTime,arrival.estimatedTime,airline.name,airline.iataCode,airline.icaoCode,flight.number,flight.iataNumber,flight.icaoNumber,departure.delay,arrival.actualTime,arrival.estimatedRunway,arrival.actualRunway,arrival.delay,codeshared.airline.name,codeshared.airline.iataCode,codeshared.airline.icaoCode,codeshared.flight.number,codeshared.flight.iataNumber,codeshared.flight.icaoNumber
departure,active,gla,egpf,m,21,2022-01-22t08:40:00.000,2022-01-22t08:40:00.000,2022-01-22t08:42:00.000,2022-01-22t08:42:00.000,2022-01-22t08:42:00.000,dub,eidw,1,3,106,2022-01-22t09:40:00.000,2022-01-22t09:18:00.000,ryanair,fr,ryr,5771,fr5771,ryr5771,3.0,2022-01-22t09:19:00.000,2022-01-22t09:19:00.000,2022-01-22t09:19:00.000,,,,,,,
departure,active,gla,egpf,m,7c,2022-01-23t08:40:00.000,2022-01-23t08:40:00.000,2022-01-23t08:42:00.000,2022-01-23t08:42:00.000,2022-01-23t08:42:00.000,dub,eidw,1,5,102,2022-01-23t09:40:00.000,2022-01-23t09:21:00.000,ryanair,fr,ryr,5771,fr5771,ryr5771,3.0,2022-01-23t09:18:00.000,2022-01-23t09:18:00.000,2022-01-23t09:18:00.000,,,,,,,
departure,active,gla,egpf,m,22,2022-01-23t21:10:00.000,2022-01-23t21:10:00.000,2022-01-23t21:11:00.000,2022-01-23t21:11:00.000,2022-01-23t21:11:00.000,dub,eidw,1,3,106,2022-01-23t22:10:00.000,2022-01-23t21:48:00.000,ryanair,fr,ryr,5775,fr5775,ryr5775,2.0,,,,,,,,,,
departure,active,gla,egpf,m,21,2022-01-24t08:30:00.000,2022-01-24t08:30:00.000,2022-01-24t08:32:00.000,2022-01-24t08:32:00.000,2022-01-24t08:32:00.000,dub,eidw,1,5,110,2022-01-24t09:30:00.000,2022-01-24t09:06:00.000,ryanair,fr,ryr,5771,fr5771,ryr5771,2.0,2022-01-24t09:07:00.000,2022-01-24t09:07:00.000,2022-01-24t09:07:00.000,,,,,,,
departure,active,gla,egpf,m,7c,2022-01-24t15:35:00.000,2022-01-24t15:26:00.000,2022-01-24t15:37:00.000,2022-01-24t15:37:00.000,2022-01-24t15:37:00.000,dub,eidw,1,3,104,2022-01-24t16:35:00.000,2022-01-24t16:12:00.000,ryanair,fr,ryr,5773,fr5773,ryr5773,3.0,2022-01-24t16:13:00.000,2022-01-24t16:13:00.000,2022-01-24t16:13:00.000,,,,,,,
departure,active,gla,egpf,m,22,2022-01-25t08:40:00.000,2022-01-25t08:40:00.000,2022-01-25t08:35:00.000,2022-01-25t08:35:00.000,2022-01-25t08:35:00.000,dub,eidw,1,2,104,2022-01-25t09:40:00.000,2022-01-25t09:14:00.000,ryanair,fr,ryr,5771,fr5771,ryr5771,,2022-01-25t09:12:00.000,2022-01-25t09:12:00.000,2022-01-25t09:12:00.000,,,,,,,
departure,active,gla,egpf,m,22,2022-01-26t08:40:00.000,2022-01-26t08:40:00.000,2022-01-26t08:39:00.000,2022-01-26t08:39:00.000,2022-01-26t08:39:00.000,dub,eidw,1,4,106,2022-01-26t09:40:00.000,2022-01-26t09:18:00.000,ryanair,fr,ryr,5771,fr5771,ryr5771,,2022-01-26t09:17:00.000,2022-01-26t09:17:00.000,2022-01-26t09:17:00.000,,,,,,,
departure,active,gla,egpf,m,21,2022-01-27t08:40:00.000,2022-01-27t08:40:00.000,2022-01-27t08:40:00.000,2022-01-27t08:40:00.000,2022-01-27t08:40:00.000,dub,eidw,1,5,108,2022-01-27t09:40:00.000,2022-01-27t09:15:00.000,ryanair,fr,ryr,5771,fr5771,ryr5771,1.0,2022-01-27t09:18:00.000,2022-01-27t09:18:00.000,2022-01-27t09:18:00.000,,,,,,,
departure,active,gla,egpf,m,22,2022-01-28t08:40:00.000,2022-01-28t08:33:00.000,2022-01-28t08:43:00.000,2022-01-28t08:43:00.000,2022-01-28t08:43:00.000,dub,eidw,1,3,110,2022-01-28t09:40:00.000,2022-01-28t09:15:00.000,ryanair,fr,ryr,5771,fr5771,ryr5771,3.0,2022-01-28t09:17:00.000,2022-01-28t09:17:00.000,2022-01-28t09:17:00.000,,,,,,,
departure,active,gla,egpf,m,7c,2022-01-28t21:40:00.000,2022-01-28t21:30:00.000,2022-01-28t21:44:00.000,2022-01-28t21:44:00.000,2022-01-28t21:44:00.000,dub,eidw,1,2,105,2022-01-28t22:40:00.000,2022-01-28t22:18:00.000,ryanair,fr,ryr,5775,fr5775,ryr5775,4.0,2022-01-28t22:21:00.000,2022-01-28t22:21:00.000,2022-01-28t22:21:00.000,,,,,,,
departure,active,gla,egpf,m,21,2022-01-29t08:40:00.000,2022-01-29t08:40:00.000,2022-01-29t08:55:00.000,2022-01-29t08:55:00.000,2022-01-29t08:55:00.000,dub,eidw,1,2,111,2022-01-29t09:40:00.000,2022-01-29t09:32:00.000,ryanair,fr,ryr,5771,fr5771,ryr5771,16.0,,,,,,,,,,
departure,active,gla,egpf,m,7b,2022-01-30t08:40:00.000,2022-01-30t08:40:00.000,2022-01-30t08:40:00.000,2022-01-30t08:40:00.000,2022-01-30t08:40:00.000,dub,eidw,1,3,105,2022-01-30t09:40:00.000,,ryanair,fr,ryr,5771,fr5771,ryr5771,1.0,2022-01-30t09:16:00.000,2022-01-30t09:16:00.000,2022-01-30t09:16:00.000,,,,,,,
departure,active,gla,egpf,m,7c,2022-01-30t21:10:00.000,2022-01-30t21:10:00.000,2022-01-30t21:29:00.000,2022-01-30t21:29:00.000,2022-01-30t21:29:00.000,dub,eidw,1,3,109,2022-01-30t22:10:00.000,2022-01-30t22:02:00.000,ryanair,fr,ryr,5775,fr5775,ryr5775,20.0,,,,,,,,,,
departure,active,gla,egpf,m,22,2022-01-31t08:30:00.000,2022-01-31t08:30:00.000,2022-01-31t08:39:00.000,2022-01-31t08:39:00.000,2022-01-31t08:39:00.000,dub,eidw,1,4,111,2022-01-31t09:30:00.000,2022-01-31t09:13:00.000,ryanair,fr,ryr,5771,fr5771,ryr5771,10.0,2022-01-31t09:12:00.000,2022-01-31t09:12:00.000,2022-01-31t09:12:00.000,,,,,,,
departure,active,gla,egpf,m,7b,2022-01-31t15:35:00.000,2022-01-31t15:35:00.000,2022-01-31t15:54:00.000,2022-01-31t15:54:00.000,2022-01-31t15:54:00.000,dub,eidw,1,3,110,2022-01-31t16:35:00.000,2022-01-31t16:28:00.000,ryanair,fr,ryr,5773,fr5773,ryr5773,20.0,,,,,,,,,,
departure,active,gla,egpf,m,27c,2022-01-01t16:10:00.000,2022-01-01t16:10:00.000,2022-01-01t16:12:00.000,2022-01-01t16:12:00.000,2022-01-01t16:12:00.000,fra,eddf,1,,z54,2022-01-01t19:05:00.000,2022-01-01t18:44:00.000,lufthansa,lh,dlh,975,lh975,dlh975,2.0,,,,,,,,,,
departure,active,gla,egpf,m,15,2022-01-02t09:05:00.000,2022-01-02t09:05:00.000,2022-01-02t09:07:00.000,2022-01-02t09:07:00.000,2022-01-02t09:07:00.000,fra,eddf,1,,z20,2022-01-02t12:00:00.000,2022-01-02t11:40:00.000,lufthansa,lh,dlh,961,lh961,dlh961,3.0,,,,,,,,,,
